topic,label,top_words,article_count,avg_confidence
1,job / ai / hiring,"job, ai, hiring, data, market, new, companies, skills",34,0.795
5,market / labor / rate,"market, labor, rate, july, labor market, employment, job, sensex",19,0.855
4,federal / rates / reserve,"federal, rates, reserve, federal reserve, inflation, expected, fed, steady",15,0.804
0,growth / male / nurses,"growth, male, nurses, nursing, south, north, oil, economic",12,0.695
3,july / post / work,"july, post, work, ai, intelligence, artificial intelligence, artificial, private",11,0.799
2,social / credit / trade,"social, credit, trade, company, global, earnings, week, inflation",7,0.757
